,t,v
0,0.0,-80.0
1,5e-05,-80.0
2,0.0001,-80.0
3,0.00015000000000000001,-80.0
4,0.0002,-80.0
5,0.00025,-80.0
6,0.00030000000000000003,-80.0
7,0.00035,-80.0
8,0.0004,-80.0
9,0.00045000000000000004,-80.0
10,0.0005,-80.0
11,0.00055,-80.0
12,0.0006000000000000001,-80.0
13,0.0006500000000000001,-80.0
14,0.0007,-80.0
15,0.00075,-80.0
16,0.0008,-80.0
17,0.0008500000000000001,-80.0
18,0.0009000000000000001,-80.0
19,0.00095,-80.0
20,0.001,-80.0
21,0.0010500000000000002,-80.0
22,0.0011,-80.0
23,0.00115,-80.0
24,0.0012000000000000001,-80.0
25,0.00125,-80.0
26,0.0013000000000000002,-80.0
27,0.00135,-80.0
28,0.0014,-80.0
29,0.0014500000000000001,-80.0
30,0.0015,-80.0
31,0.0015500000000000002,-80.0
32,0.0016,-80.0
33,0.00165,-80.0
34,0.0017000000000000001,-80.0
35,0.00175,-80.0
36,0.0018000000000000002,-80.0
37,0.00185,-80.0
38,0.0019,-80.0
39,0.0019500000000000001,-80.0
40,0.002,-80.0
41,0.00205,-80.0
42,0.0021000000000000003,-80.0
43,0.00215,-80.0
44,0.0022,-80.0
45,0.0022500000000000003,-80.0
46,0.0023,-80.0
47,0.00235,-80.0
48,0.0024000000000000002,-80.0
49,0.00245,-80.0
50,0.0025,-80.0
51,0.00255,-80.0
52,0.0026000000000000003,-80.0
53,0.00265,-80.0
54,0.0027,-80.0
55,0.0027500000000000003,-80.0
56,0.0028,-80.0
57,0.00285,-80.0
58,0.0029000000000000002,-80.0
59,0.00295,-80.0
60,0.003,-80.0
61,0.00305,-80.0
62,0.0031000000000000003,-80.0
63,0.00315,-80.0
64,0.0032,-80.0
65,0.0032500000000000003,-80.0
66,0.0033,-80.0
67,0.00335,-80.0
68,0.0034000000000000002,-80.0
69,0.0034500000000000004,-80.0
70,0.0035,-80.0
71,0.00355,-80.0
72,0.0036000000000000003,-80.0
73,0.00365,-80.0
74,0.0037,-80.0
75,0.0037500000000000003,-80.0
76,0.0038,-80.0
77,0.00385,-80.0
78,0.0039000000000000003,-80.0
79,0.00395,-80.0
80,0.004,-80.0
81,0.00405,-80.0
82,0.0041,-80.0
83,0.00415,-80.0
84,0.004200000000000001,-80.0
85,0.00425,-80.0
86,0.0043,-80.0
87,0.004350000000000001,-80.0
88,0.0044,-80.0
89,0.00445,-80.0
90,0.0045000000000000005,-80.0
91,0.00455,-80.0
92,0.0046,-80.0
93,0.0046500000000000005,-80.0
94,0.0047,-80.0
95,0.00475,-80.0
96,0.0048000000000000004,-80.0
97,0.00485,-80.0
98,0.0049,-80.0
99,0.00495,-80.0
100,0.005,-80.0
101,0.005050000000000001,-80.0
102,0.0051,-80.0
103,0.00515,-80.0
104,0.005200000000000001,-80.0
105,0.00525,-80.0
106,0.0053,-80.0
107,0.005350000000000001,-80.0
108,0.0054,-80.0
109,0.00545,-80.0
110,0.0055000000000000005,-80.0
111,0.00555,-80.0
112,0.0056,-80.0
113,0.0056500000000000005,-80.0
114,0.0057,-80.0
115,0.00575,-80.0
116,0.0058000000000000005,-80.0
117,0.00585,-80.0
118,0.0059,-80.0
119,0.00595,-80.0
120,0.006,-80.0
121,0.006050000000000001,-80.0
122,0.0061,-80.0
123,0.00615,-80.0
124,0.006200000000000001,-80.0
125,0.00625,-80.0
126,0.0063,-80.0
127,0.006350000000000001,-80.0
128,0.0064,-80.0
129,0.00645,-80.0
130,0.006500000000000001,-80.0
131,0.00655,-80.0
132,0.0066,-80.0
133,0.0066500000000000005,-80.0
134,0.0067,-80.0
135,0.00675,-80.0
136,0.0068000000000000005,-80.0
137,0.00685,-80.0
138,0.006900000000000001,-80.0
139,0.0069500000000000004,-80.0
140,0.007,-80.0
141,0.007050000000000001,-80.0
142,0.0071,-80.0
143,0.00715,-80.0
144,0.007200000000000001,-80.0
145,0.00725,-80.0
146,0.0073,-80.0
147,0.007350000000000001,-80.0
148,0.0074,-80.0
149,0.00745,-80.0
150,0.007500000000000001,-80.0
151,0.00755,-80.0
152,0.0076,-80.0
