,t,v
267,0.01335,-140.0
268,0.0134,-140.0
269,0.01345,-140.0
270,0.0135,-140.0
271,0.01355,-140.0
272,0.0136,-140.0
273,0.01365,-140.0
274,0.0137,-140.0
275,0.01375,-140.0
276,0.0138,-140.0
277,0.01385,-140.0
278,0.0139,-140.0
279,0.01395,-140.0
280,0.014,-140.0
281,0.01405,-140.0
282,0.0141,-140.0
283,0.01415,-140.0
284,0.0142,-140.0
285,0.01425,-140.0
286,0.0143,-140.0
287,0.01435,-140.0
288,0.0144,-140.0
289,0.01445,-140.0
290,0.0145,-140.0
291,0.01455,-140.0
292,0.0146,-140.0
293,0.01465,-140.0
294,0.0147,-140.0
295,0.01475,-140.0
296,0.0148,-140.0
297,0.01485,-140.0
298,0.0149,-140.0
299,0.01495,-140.0
300,0.015,-140.0
301,0.01505,-140.0
302,0.0151,-140.0
303,0.01515,-140.0
304,0.0152,-140.0
305,0.01525,-140.0
306,0.0153,-140.0
307,0.01535,-140.0
308,0.0154,-140.0
309,0.01545,-140.0
310,0.0155,-140.0
311,0.01555,-140.0
312,0.0156,-140.0
313,0.01565,-140.0
314,0.0157,-140.0
315,0.01575,-140.0
316,0.0158,-140.0
317,0.01585,-140.0
318,0.0159,-140.0
319,0.01595,-140.0
320,0.016,-140.0
321,0.01605,-140.0
322,0.0161,-140.0
323,0.01615,-140.0
324,0.0162,-140.0
325,0.01625,-140.0
326,0.0163,-140.0
327,0.01635,-140.0
328,0.0164,-140.0
329,0.01645,-140.0
330,0.0165,-140.0
331,0.01655,-140.0
332,0.0166,-140.0
333,0.01665,-140.0
334,0.0167,-140.0
335,0.01675,-140.0
336,0.0168,-140.0
337,0.01685,-140.0
338,0.0169,-140.0
339,0.01695,-140.0
340,0.017,-140.0
341,0.01705,-140.0
342,0.0171,-140.0
343,0.01715,-140.0
344,0.0172,-140.0
345,0.01725,-140.0
346,0.0173,-140.0
347,0.01735,-140.0
348,0.0174,-140.0
349,0.01745,-140.0
350,0.0175,-140.0
351,0.01755,-140.0
352,0.0176,-140.0
353,0.01765,-140.0
354,0.0177,-140.0
355,0.01775,-140.0
356,0.0178,-140.0
357,0.01785,-140.0
358,0.0179,-140.0
359,0.01795,-140.0
360,0.018,-140.0
361,0.01805,-140.0
362,0.0181,-140.0
363,0.01815,-140.0
364,0.0182,-140.0
365,0.01825,-140.0
366,0.0183,-140.0
367,0.01835,-140.0
368,0.0184,-140.0
369,0.01845,-140.0
370,0.0185,-140.0
371,0.01855,-140.0
372,0.0186,-140.0
373,0.01865,-140.0
374,0.0187,-140.0
375,0.01875,-140.0
376,0.0188,-140.0
377,0.01885,-140.0
378,0.0189,-140.0
379,0.01895,-140.0
380,0.019,-140.0
381,0.01905,-140.0
382,0.0191,-140.0
383,0.01915,-140.0
384,0.0192,-140.0
385,0.01925,-140.0
386,0.0193,-140.0
387,0.01935,-140.0
388,0.0194,-140.0
389,0.01945,-140.0
390,0.0195,-140.0
391,0.01955,-140.0
392,0.0196,-140.0
393,0.01965,-140.0
394,0.0197,-140.0
395,0.01975,-140.0
396,0.0198,-140.0
397,0.01985,-140.0
398,0.0199,-140.0
399,0.01995,-140.0
400,0.02,-140.0
401,0.02005,-140.0
402,0.0201,-140.0
403,0.02015,-140.0
404,0.0202,-140.0
405,0.02025,-140.0
406,0.0203,-140.0
407,0.02035,-140.0
408,0.0204,-140.0
409,0.02045,-140.0
410,0.0205,-140.0
411,0.02055,-140.0
412,0.0206,-140.0
413,0.02065,-140.0
414,0.0207,-140.0
415,0.02075,-140.0
416,0.0208,-140.0
417,0.02085,-140.0
418,0.0209,-140.0
419,0.02095,-140.0
420,0.021,-140.0
421,0.02105,-140.0
422,0.0211,-140.0
423,0.02115,-140.0
424,0.0212,-140.0
425,0.02125,-140.0
